wp_id,articolo_uuid,id_numero,numero_uuid,action,status,note
5387,,OEL-14,,set,dry,
5723,,OEL-16,,set,dry,
5396,,OEL-14,,set,dry,
5403,,OEL-14,,set,dry,
5407,,OEL-14,,set,dry,
5420,,OEL-14,,set,dry,
5429,,OEL-14,,set,dry,
5447,,OEL-14,,set,dry,
5464,,OEL-14,,set,dry,
5578,,OEL-15,,set,dry,
6700,,OEL-23,,set,dry,
5597,,OEL-63,,set,dry,
5610,,OEL-15,,set,dry,
5617,,OEL-15,,set,dry,
5650,,OEL-15,,set,dry,
5671,,OEL-15,,set,dry,
5675,,null,,null,dry,
5690,,OEL-15,,set,dry,
5698,,OEL-15,,set,dry,
5717,,OEL-16,,set,dry,
5742,,OEL-16,,set,dry,
5745,,OEL-16,,set,dry,
5751,,OEL-16,,set,dry,
5756,,OEL-16,,set,dry,
5760,,OEL-16,,set,dry,
5763,,OEL-16,,set,dry,
5768,,OEL-16,,set,dry,
5773,,OEL-16,,set,dry,
5776,,OEL-16,,set,dry,
5779,,OEL-16,,set,dry,
5782,,OEL-16,,set,dry,
5784,,OEL-16,,set,dry,
5840,,OEL-39,,set,dry,
5854,,OEL-52,,set,dry,
5844,,OEL-47,,set,dry,
5846,,OEL-39,,set,dry,
5869,,OEL-64,,set,dry,
5857,,OEL-23,,set,dry,
5861,,OEL-101,,set,dry,
5879,,OEL-56,,set,dry,
5892,,null,,null,dry,
5904,,null,,null,dry,
5909,,null,,null,dry,
5916,,null,,null,dry,
5918,,null,,null,dry,
5921,,null,,null,dry,
5923,,null,,null,dry,
6866,,null,,null,dry,
6035,,OEL-18,,set,dry,
6024,,OEL-18,,set,dry,
6044,,OEL-18,,set,dry,
6045,,OEL-101,,set,dry,
6049,,OEL-101,,set,dry,
6052,,OEL-18,,set,dry,
6053,,OEL-18,,set,dry,
6059,,OEL-18,,set,dry,
6062,,OEL-18,,set,dry,
6067,,OEL-64,,set,dry,
6072,,OEL-18,,set,dry,
6074,,OEL-18,,set,dry,
6076,,OEL-18,,set,dry,
6081,,OEL-18,,set,dry,
6082,,OEL-18,,set,dry,
6083,,OEL-39,,set,dry,
6087,,OEL-18,,set,dry,
7046,,OEL-26,,set,dry,
6106,,OEL-52,,set,dry,
6109,,OEL-39,,set,dry,
6111,,OEL-56,,set,dry,
6128,,OEL-19,,set,dry,
6144,,OEL-19,,set,dry,
6160,,OEL-19,,set,dry,
6176,,OEL-19,,set,dry,
6181,,OEL-19,,set,dry,
6188,,OEL-19,,set,dry,
6198,,OEL-19,,set,dry,
6195,,OEL-19,,set,dry,
6201,,OEL-19,,set,dry,
6205,,OEL-19,,set,dry,
6207,,OEL-19,,set,dry,
6210,,OEL-19,,set,dry,
6370,,OEL-20,,set,dry,
6373,,OEL-20,,set,dry,
6381,,OEL-20,,set,dry,
6384,,OEL-20,,set,dry,
6387,,OEL-20,,set,dry,
6398,,OEL-20,,set,dry,
6458,,null,,null,dry,
6436,,null,,null,dry,
6483,,null,,null,dry,
7250,,null,,null,dry,
6551,,null,,null,dry,
6560,,OEL-21,,set,dry,
6572,,OEL-21,,set,dry,
6575,,OEL-21,,set,dry,
6582,,OEL-21,,set,dry,
6586,,OEL-21,,set,dry,
6589,,OEL-21,,set,dry,
6592,,OEL-21,,set,dry,
6595,,OEL-21,,set,dry,
6599,,OEL-21,,set,dry,
6602,,OEL-21,,set,dry,
6607,,OEL-21,,set,dry,
6618,,null,,null,dry,
6634,,OEL-22,,set,dry,
6855,,null,,null,dry,
6640,,OEL-22,,set,dry,
6642,,OEL-22,,set,dry,
6644,,OEL-22,,set,dry,
6646,,OEL-22,,set,dry,
6649,,OEL-22,,set,dry,
6652,,OEL-22,,set,dry,
6657,,OEL-22,,set,dry,
6670,,OEL-22,,set,dry,
6673,,OEL-22,,set,dry,
6678,,OEL-22,,set,dry,
6682,,OEL-22,,set,dry,
6686,,OEL-22,,set,dry,
6712,,OEL-23,,set,dry,
6724,,OEL-23,,set,dry,
6726,,OEL-23,,set,dry,
6728,,OEL-23,,set,dry,
6730,,OEL-23,,set,dry,
6732,,OEL-23,,set,dry,
6735,,OEL-23,,set,dry,
6741,,OEL-23,,set,dry,
6745,,OEL-23,,set,dry,
6761,,OEL-24,,set,dry,
6956,,null,,null,dry,
6767,,OEL-24,,set,dry,
6774,,OEL-24,,set,dry,
6778,,OEL-24,,set,dry,
6781,,OEL-24,,set,dry,
6796,,null,,null,dry,
6800,,OEL-24,,set,dry,
6805,,OEL-24,,set,dry,
6809,,OEL-24,,set,dry,
6967,,null,,null,dry,
6849,,null,,null,dry,
6894,,OEL-25,,set,dry,
6901,,OEL-25,,set,dry,
